Origin_Airport_ID,Destination_Airport_ID,Flights,Total_Passengers,Total_Revenue_USD,Avg_Load_Factor_Pct,Avg_Delay_Minutes,Route_ID,Origin_City,Destination_City,Route_Name
AP001,AP002,8,1810,700570.0,76.13159525659526,28.5,RT00001,Chennai,Delhi,Chennai → Delhi
AP001,AP003,11,2430,1072337.0,71.59560173196537,8.0,RT00002,Chennai,Mumbai,Chennai → Mumbai
AP001,AP004,2,363,125721.0,69.8939393939394,3.0,RT00003,Chennai,Bengaluru,Chennai → Bengaluru
AP001,AP005,5,1017,412519.0,73.24043604043604,7.6,RT00004,Chennai,Hyderabad,Chennai → Hyderabad
AP001,AP006,6,1226,450219.0,71.90342615342615,61.0,RT00005,Chennai,Kolkata,Chennai → Kolkata
AP001,AP007,7,1817,749391.0,84.84696234696234,9.285714285714286,RT00006,Chennai,Kochi,Chennai → Kochi
AP001,AP008,10,2063,938336.0,68.7561519061519,19.4,RT00007,Chennai,Pune,Chennai → Pune
AP001,AP009,9,1565,408812.0,75.773341884453,16.444444444444443,RT00008,Chennai,Ahmedabad,Chennai → Ahmedabad
AP001,AP010,12,2561,1090779.0,76.6093135259802,30.33333333333333,RT00009,Chennai,Goa,Chennai → Goa
AP001,AP011,8,1500,517985.0,62.27232302232302,14.75,RT00010,Chennai,Dubai,Chennai → Dubai
AP001,AP012,4,784,271215.0,69.84259259259258,45.0,RT00011,Chennai,Singapore,Chennai → Singapore
AP001,AP013,7,1552,580215.0,65.1954711954712,47.0,RT00012,Chennai,London,Chennai → London
AP001,AP014,6,1194,594264.0,72.80050196716863,21.33333333333333,RT00013,Chennai,New York,Chennai → New York
AP001,AP015,5,1143,276653.0,76.2959952959953,34.0,RT00014,Chennai,Los Angeles,Chennai → Los Angeles
AP001,AP016,6,1182,385366.0,71.27468377468377,5.333333333333333,RT00015,Chennai,Doha,Chennai → Doha
AP001,AP017,7,1494,406486.0,73.65931951646238,19.142857142857142,RT00016,Chennai,Frankfurt,Chennai → Frankfurt
AP001,AP018,3,539,170780.0,67.4228257561591,23.666666666666668,RT00017,Chennai,Sydney,Chennai → Sydney
AP001,AP019,7,1373,388887.0,80.97802276373704,52.42857142857143,RT00018,Chennai,Melbourne,Chennai → Melbourne
AP001,AP020,9,1863,843274.0,71.28072883628438,33.0,RT00019,Chennai,Bangkok,Chennai → Bangkok
AP001,AP021,6,1214,393035.0,74.5763187429854,20.5,RT00020,Chennai,Kuala Lumpur,Chennai → Kuala Lumpur
AP001,AP022,6,1224,453701.0,75.77895644562311,9.5,RT00021,Chennai,Hong Kong,Chennai → Hong Kong
AP001,AP023,6,1456,480432.0,82.04636104636104,30.666666666666668,RT00022,Chennai,Tokyo,Chennai → Tokyo
AP001,AP024,5,768,271829.0,58.72568172568173,3.8,RT00023,Chennai,Paris,Chennai → Paris
AP001,AP025,8,1746,553825.0,73.06823731823731,27.625,RT00024,Chennai,Amsterdam,Chennai → Amsterdam
AP001,AP026,4,891,292700.0,80.50844525844526,49.25,RT00025,Chennai,Toronto,Chennai → Toronto
AP001,AP027,10,2244,1002545.0,75.08159663159663,6.9,RT00026,Chennai,Istanbul,Chennai → Istanbul
AP001,AP028,8,1425,331848.0,72.9947024947025,18.875,RT00027,Chennai,Abu Dhabi,Chennai → Abu Dhabi
AP001,AP029,9,1996,769067.0,75.32713249379916,10.0,RT00028,Chennai,Cape Town,Chennai → Cape Town
AP001,AP030,7,1500,416058.0,66.85707621421908,50.0,RT00029,Chennai,Hahn,Chennai → Hahn
AP002,AP001,3,282,109470.0,51.09347442680777,96.0,RT00030,Delhi,Chennai,Delhi → Chennai
AP002,AP003,8,1773,699278.0,74.96730121730121,20.375,RT00031,Delhi,Mumbai,Delhi → Mumbai
AP002,AP004,4,746,385162.0,64.98634473634473,52.25,RT00032,Delhi,Bengaluru,Delhi → Bengaluru
AP002,AP005,8,1534,405814.0,66.04331254331254,43.75,RT00033,Delhi,Hyderabad,Delhi → Hyderabad
AP002,AP006,7,1038,344645.0,53.65208065208065,27.142857142857142,RT00034,Delhi,Kolkata,Delhi → Kolkata
AP002,AP007,5,983,309389.0,83.24436124436124,9.4,RT00035,Delhi,Kochi,Delhi → Kochi
AP002,AP008,6,1075,559545.0,63.8340331673665,34.5,RT00036,Delhi,Pune,Delhi → Pune
AP002,AP009,6,1119,412361.0,76.41346924680256,27.166666666666668,RT00037,Delhi,Ahmedabad,Delhi → Ahmedabad
